http://purl.org/dc/elements/1.1/description,http://www.georss.org/georss/point,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/1999/02/22-rdf-syntax-ns#type_label,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2000/01/rdf-schema#seeAlso_label,http://www.w3.org/2002/07/owl#differentFrom,http://www.w3.org/2002/07/owl#differentFrom_label,http://www.w3.org/2003/01/geo/wgs84_pos#lat,http://www.w3.org/2003/01/geo/wgs84_pos#long,ontology/activeYears,ontology/activeYearsEndDate,ontology/activeYearsEndYear,ontology/activeYearsStartDate,ontology/activeYearsStartYear,ontology/alias,ontology/allegiance,ontology/almaMater,ontology/almaMater_label,ontology/appointer,ontology/appointer_label,ontology/associate,ontology/associate_label,ontology/associatedBand,ontology/associatedBand_label,ontology/associatedMusicalArtist,ontology/associatedMusicalArtist_label,ontology/award,ontology/award_label,ontology/background,ontology/battle,ontology/battle_label,ontology/birthDate,ontology/birthName,ontology/birthPlace,ontology/birthPlace_label,ontology/birthYear,ontology/board,ontology/board_label,ontology/bodyDiscovered,ontology/bodyDiscovered_label,ontology/chancellor,ontology/chancellor_label,ontology/child,ontology/child_label,ontology/citizenship,ontology/citizenship_label,ontology/committee,ontology/country,ontology/country_label,ontology/creator,ontology/creator_label,ontology/deathCause,ontology/deathCause_label,ontology/deathDate,ontology/deathPlace,ontology/deathPlace_label,ontology/deathYear,ontology/deputy,ontology/deputy_label,ontology/education,ontology/education_label,ontology/electionMajority,ontology/employer,ontology/employer_label,ontology/ethnicity,ontology/ethnicity_label,ontology/firstAppearance,ontology/gender,ontology/gender_label,ontology/genre,ontology/genre_label,ontology/governor,ontology/governorGeneral,ontology/governorGeneral_label,ontology/governor_label,ontology/height,ontology/hometown,ontology/hometown_label,ontology/honours,ontology/honours_label,ontology/imdbId,ontology/influenced,ontology/influencedBy,ontology/influencedBy_label,ontology/influenced_label,ontology/instrument,ontology/instrument_label,ontology/knownFor,ontology/knownFor_label,ontology/language,ontology/language_label,ontology/lastAppearance,ontology/lastAppearance_label,ontology/lieutenant,ontology/lieutenant_label,ontology/militaryBranch,ontology/militaryBranch_label,ontology/militaryCommand,ontology/militaryRank,ontology/militaryRank_label,ontology/militaryUnit,ontology/militaryUnit_label,ontology/monarch,ontology/monarch_label,ontology/movement,ontology/movement_label,ontology/nationality,ontology/nationality_label,ontology/networth,ontology/notableWork,ontology/notableWork_label,ontology/occupation,ontology/occupation_label,ontology/office,ontology/opponent,ontology/opponent_label,ontology/orderInOffice,ontology/otherParty,ontology/otherParty_label,ontology/parent,ontology/parent_label,ontology/partner,ontology/partner_label,ontology/party,ontology/party_label,ontology/personFunction,ontology/personFunction_label,ontology/portfolio,ontology/portrayer,ontology/portrayer_label,ontology/predecessor,ontology/predecessor_label,ontology/president,ontology/president_label,ontology/primeMinister,ontology/primeMinister_label,ontology/profession,ontology/profession_label,ontology/pseudonym,ontology/race,ontology/raceHorse,ontology/raceHorse_label,ontology/race_label,ontology/recordLabel,ontology/recordLabel_label,ontology/region,ontology/region_label,ontology/relation,ontology/relation_label,ontology/relative,ontology/relative_label,ontology/religion,ontology/religion_label,ontology/residence,ontology/residence_label,ontology/restingPlace,ontology/restingPlacePosition,ontology/restingPlace_label,ontology/salary,ontology/school,ontology/school_label,ontology/seniority,ontology/series,ontology/series_label,ontology/serviceEndYear,ontology/serviceStartYear,ontology/signature,ontology/soundRecording,ontology/soundRecording_label,ontology/species,ontology/species_label,ontology/spouse,ontology/spouse_label,ontology/stateOfOrigin,ontology/stateOfOrigin_label,ontology/successor,ontology/successor_label,ontology/termPeriod,ontology/termPeriod_label,ontology/timeInSpace,ontology/title,ontology/type,ontology/type_label,ontology/viafId,ontology/vicePresident,ontology/vicePresident_label,ontology/voice,ontology/voice_label,ontology/weight,ontology/wins,title
American television news anchor reporter journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lisa Colagrossi,,,,,,,,,2015,,1988,,,,,,,,,,,,,,,,,,1965-05-09,,http://dbpedia.org/resource/Cleveland | http://dbpedia.org/resource/Ohio | http://dbpedia.org/resource/United_States,Cleveland | Ohio | United States,1965,,,,,,,,,,,,,,,,,,2015-03-20,http://dbpedia.org/resource/New_York_City | http://dbpedia.org/resource/United_States,New York City | United States,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Lisa_Colagrossi__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/News_broadcasting | http://dbpedia.org/resource/Radio,Lisa_Colagrossi__1 | Journalist | News broadcasting | Radio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisa_Colagrossi
journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lisa Daftari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Fox_News_Channel,Fox News Channel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Iranian_Americans,Iranian Americans,,,,http://dbpedia.org/resource/Lisa_Daftari__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Pundit,Lisa_Daftari__1 | Journalist | Pundit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Iranian_Americans,Iranian Americans,,,,,,,,,,,,,,,,Lisa_Daftari
American wrestler martial artist and television journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lisa Evers,,,,,,,,,,,,Sliwa Lisa,,,,,,,,,,,,,,,,,,Lisa Maria Evers,,,1963 | 1953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2412668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Lisa_Evers__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Radio_personality,Lisa_Evers__1 | Journalist | Radio personality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lisa_Evers
Actress and network television news reporter/anchor,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lisa Howard (reporter),,,,,,,,,,,,Dorothy Guggenheim,,,,,,,,,,,,,,,,,1930-04-24,Dorothy Jean Guggenheim,"http://dbpedia.org/resource/Cambridge,_Ohio | http://dbpedia.org/resource/United_States",Cambridge Ohio | United States,1930,,,,,,,,,,,,,,,,,,1965-07-04,"http://dbpedia.org/resource/East_Hampton_(village),_New_York | http://dbpedia.org/resource/United_States | http://dbpedia.org/resource/New_York",East Hampton (village) New York | United States | New York,1965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Lisa_Howard_(reporter)__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Actor,Lisa_Howard_(reporter)__1 | Journalist | Actor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Felix_E._Feist,Felix E. Feist,,,,,,,,,,,,,,,,,,Lisa_Howard_(reporter)
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lisa Wilkinson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959-12-19,,http://dbpedia.org/resource/Wollongong,Wollongong,1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0929436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Lisa_Wilkinson__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Television_presenter,Lisa_Wilkinson__1 | Journalist | Television presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Peter_FitzSimons,Peter FitzSimons,,,,,,,,,,,,,,,,,,Lisa_Wilkinson
Writer journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Writer | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q36180,owl#Thing | person | writer | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q36180,Lise Nørgaard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1917-06-14,,http://dbpedia.org/resource/Denmark | http://dbpedia.org/resource/Roskilde,Denmark | Roskilde,1917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Denmark,Denmark,,http://dbpedia.org/resource/Matador_(Danish_TV_series),Matador (Danish TV series),http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Screenwriter | http://dbpedia.org/resource/Novelist,Journalist | Screenwriter | Novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lise_Nørgaard
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/FictionalCharacter | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q95074,owl#Thing | person | fictional character | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q95074,List of Mama's Family characters,,,,,,,,,,,,Vinton Ray Harper (birth name) | Naomi Oates | Mary Ellen Harper (birth name),,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/The_Carol_Burnett_Show | http://dbpedia.org/resource/List_of_Mama's_Family_characters,The Carol Burnett Show | List of Mama's Family characters,,,,,,,,,,,,,,,,,,,,,,,Vint and the Kids Move In | The Carol Burnett Show | (November 22 1975) | Farewell Frannie | Vint and the Kids Move In (January 1983) | Farewell Frannie,http://dbpedia.org/resource/Male,Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Lock_(security_device) | http://dbpedia.org/resource/Socialite | http://dbpedia.org/resource/Cashier,Journalist | Lock (security device) | Socialite | Cashier,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Rue_McClanahan | http://dbpedia.org/resource/Betty_White | http://dbpedia.org/resource/Dorothy_Lyman | http://dbpedia.org/resource/Ken_Berry | http://dbpedia.org/resource/Allan_Kayser | http://dbpedia.org/resource/David_Friedman_(actor),Rue McClanahan | Betty White | Dorothy Lyman | Ken Berry | Allan Kayser | David Friedman (actor),,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Mama's_Family | http://dbpedia.org/resource/Thelma_Harper | http://dbpedia.org/resource/Eunice_Harper_Higgins | http://dbpedia.org/resource/List_of_Mama's_Family_characters,Mama's Family | Thelma Harper | Eunice Harper Higgins | List of Mama's Family characters,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/List_of_Mama's_Family_characters,List of Mama's Family characters,,,,,,,,,,,,,,,,,,List_of_Mama's_Family_characters
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/FictionalCharacter | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q95074,owl#Thing | person | fictional character | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q95074,List of Primeval characters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Episode 4.1 | Episode 3.1 | Episode 1.1 | Episode 2.1 | Episode 4.3 | Episode 1.2 | Episode 2.6 | Episode 5.1 | Episode 3.4 | Episode 3.2 | Episode 2.2,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Episode_1.6_(Primeval) | http://dbpedia.org/resource/List_of_Primeval_episodes,Episode 1.6 (Primeval) | List of Primeval episodes,,,,,,,,,,,,,,http://dbpedia.org/resource/Irish_people | http://dbpedia.org/resource/English_people,Irish people | English people,,,,http://dbpedia.org/resource/Home_Office | http://dbpedia.org/resource/Public_relations | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Professor | http://dbpedia.org/resource/Government_of_the_United_Kingdom | http://dbpedia.org/resource/Zookeeper,Home Office | Public relations | Journalist | Professor | Government of the United Kingdom | Zookeeper,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Alexander_Siddig | http://dbpedia.org/resource/Jason_Flemyng | http://dbpedia.org/resource/Hannah_Spearritt | http://dbpedia.org/resource/Ben_Miller | http://dbpedia.org/resource/Ciarán_McMenamin | http://dbpedia.org/resource/Laila_Rouass | http://dbpedia.org/resource/Douglas_Henshall | http://dbpedia.org/resource/Ramon_Tikaram | http://dbpedia.org/resource/Karl_Theobald | http://dbpedia.org/resource/Anton_Lesser | http://dbpedia.org/resource/Alex_McSweeney | http://dbpedia.org/resource/James_Murray_(English_actor) | http://dbpedia.org/resource/Andrew-Lee_Potts | http://dbpedia.org/resource/Lucy_Brown | http://dbpedia.org/resource/Juliet_Aubrey | http://dbpedia.org/resource/Mark_Wakeling | http://dbpedia.org/resource/James_Bradshaw_(actor) | http://dbpedia.org/resource/Naomi_Bentley | http://dbpedia.org/resource/Ruth_Bradley | http://dbpedia.org/resource/Ben_Mansfield | http://dbpedia.org/resource/Belinda_Stewart-Wilson | http://dbpedia.org/resource/Janice_Byrne,Alexander Siddig | Jason Flemyng | Hannah Spearritt | Ben Miller | Ciarán McMenamin | Laila Rouass | Douglas Henshall | Ramon Tikaram | Karl Theobald | Anton Lesser | Alex McSweeney | James Murray (English actor) | Andrew-Lee Potts | Lucy Brown | Juliet Aubrey | Mark Wakeling | James Bradshaw (actor) | Naomi Bentley | Ruth Bradley | Ben Mansfield | Belinda Stewart-Wilson | Janice_Byrne,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/List_of_Primeval_characters | http://dbpedia.org/resource/Gideon,List of Primeval characters | Gideon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,List_of_Primeval_characters
British journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://dbpedia.org/ontology/Journalist | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent | http://www.wikidata.org/entity/Q1930187,owl#Thing | person | journalist | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent | Q1930187,Liz Barclay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Northern_Ireland,Northern Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_Kingdom,United Kingdom,,,,http://dbpedia.org/resource/Liz_Barclay__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Radio_personality | http://dbpedia.org/resource/News_presenter,Liz_Barclay__1 | Journalist | Radio personality | News presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Liz_Barclay
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Liz Evora,,,,,,,,,,,,Lizzy,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Havana | http://dbpedia.org/resource/Cuba,Havana | Cuba,0030,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/University_of_Miami,University of Miami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Liz_Evora__1 | http://dbpedia.org/resource/Journalist,Liz_Evora__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,,,,,,,,,,,,,Liz_Evora
British journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Liz Jones,,,,,,,,,,,,,,http://dbpedia.org/resource/London_College_of_Communication,London College of Communication,,,,,,,,,,,,,,1918-09-05 | 1958-09-05,Elizabeth Ann Jones,http://dbpedia.org/resource/United_Kingdom | http://dbpedia.org/resource/England,United Kingdom | England,1958 | 1918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Liz_Jones__1 | http://dbpedia.org/resource/Writer | http://dbpedia.org/resource/Journalist,Liz_Jones__1 | Writer | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36208451,,,,,,,Liz_Jones
Journalist and government employee,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Liz Swaine,,,,,,,,,,,,Elizabeth Swaine Culp,,http://dbpedia.org/resource/University_of_West_Florida,University of West Florida,,,,,,,,,,,,,,1960-05-11,,"http://dbpedia.org/resource/Washington_County,_Florida | http://dbpedia.org/resource/Chipley,_Florida | http://dbpedia.org/resource/Florida",Washington County Florida | Chipley Florida | Florida,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Liz_Swaine__1 | http://dbpedia.org/resource/Public_relations | http://dbpedia.org/resource/Journalist,Liz_Swaine__1 | Public relations | Journalist,,,,,,,,,,,http://dbpedia.org/resource/Democratic_Party_(United_States),Democratic Party (United States),,,,,,,,,,,,,,,,,,,,,,,,,,,,,"http://dbpedia.org/resource/Louisiana | http://dbpedia.org/resource/Shreveport,_Louisiana",Louisiana | Shreveport Louisiana,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,,,,,,,,,,,,,Liz_Swaine
American journalist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Liz Wahl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Philippines,Philippines,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/RT_America,RT America,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,http://dbpedia.org/resource/Liz_Wahl__1 | http://dbpedia.org/resource/Journalist,Liz_Wahl__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/United_States,United States,,,,,,,,,,,,,,,,Liz_Wahl
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Liza Featherstone,,,,,,,,,,,1992,,,,,,,,,,,,,,,,,,1969-04-21,,,,1969,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Columbia_University | http://dbpedia.org/resource/University_of_Michigan,Columbia University | University of Michigan,,,,,,,,,,,,,,,,,,,,3375575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Liza_Featherstone__1 | http://dbpedia.org/resource/Journalist,Liza_Featherstone__1 | Journalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Doug_Henwood,Doug Henwood,,,,,,,,,,,,,,,,,,Liza_Featherstone
,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lizo Mzimba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lizo Mzimba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Lizo_Mzimba__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Television_presenter,Lizo_Mzimba__1 | Journalist | Television presenter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lizo_Mzimba
journalist novelist,,http://www.w3.org/2002/07/owl#Thing | http://dbpedia.org/ontology/Person | http://www.wikidata.org/entity/Q5 | http://xmlns.com/foaf/0.1/Person | http://schema.org/Person | http://www.wikidata.org/entity/Q215627 | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#NaturalPerson | http://dbpedia.org/ontology/Agent | http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Agent,owl#Thing | person | Q5 | Person | Q215627 | DUL.owl#NaturalPerson | agent | DUL.owl#Agent,Lode Zielens,,,,,,,,,,,,Zielens Ludovicus Carolus,,,,,,,,,,,,,,,,,1901-06-13,Ludovicus Carolus Zielens,http://dbpedia.org/resource/Antwerp,Antwerp,1901,,,,,,,,,,,,,,,,,,1944-11-28,http://dbpedia.org/resource/Antwerp,Antwerp,1944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Belgium,Belgium,,,,http://dbpedia.org/resource/Lode_Zielens__1 | http://dbpedia.org/resource/Journalist | http://dbpedia.org/resource/Novelist,Lode_Zielens__1 | Journalist | Novelist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://dbpedia.org/resource/Belgium,Belgium,,,,,,,,,,,,,,,,Lode_Zielens
